"","n","hypothesis","normality","p","mean","BF","Shapiro"
"1",15,"H0",TRUE,0.706912729575093,1.00842844549717,0.279987069375653,0.601261506011182
"2",40,"H0",TRUE,0.581739529621525,0.975896381371443,0.197155517325706,0.712200770984903
"3",150,"H0",TRUE,0.62899103407388,-0.358435012601707,0.10202800216406,0.233988229823332
"4",15,"H0",FALSE,0.0700326909703981,4.4132593161939,1.18810957223396,0.0958436065866549
"5",40,"H0",FALSE,0.698973424826321,0.678282682217503,0.183194863109253,0.00526012513645003
"6",150,"H0",FALSE,0.579744592649942,-0.448278722021028,0.105773512792396,1.27872446924766e-05
"7",15,"Ha",TRUE,0.0150912886137023,9.74335608374072,3.9790282086921,0.0933388871828257
"8",40,"Ha",TRUE,0.0298138536614703,3.84247705491363,1.62860107931706,0.70128942276855
"9",150,"Ha",TRUE,5.59522616221843e-05,3.29106755067652,271.583151610537,0.983566159468822
"10",15,"Ha",FALSE,0.196716964503394,2.96106253906649,0.564841063487268,0.0326423745401087
"11",40,"Ha",FALSE,0.515437096397644,0.803949467931023,0.208735746290488,0.0310403074934218
"12",150,"Ha",FALSE,6.94182055357974e-07,3.92409927238973,17118.2526588531,2.17686806799067e-07
"13",15,"H0",TRUE,0.672529631970722,1.14129889214713,0.284831389416481,0.865149711421781
"14",40,"H0",TRUE,0.0231699521966214,3.35038723399146,2.00654061590809,0.611533788266834
"15",150,"H0",TRUE,0.800184568518933,0.215397684673947,0.0938642220483099,0.667536180076946
"16",15,"H0",FALSE,0.209120538757869,3.28745125871372,0.54215745593908,0.0491300514692957
"17",40,"H0",FALSE,0.978245472960038,-0.0441380712957914,0.170638250826776,0.0288357842628171
"18",150,"H0",FALSE,0.335389337130285,-0.788109062348592,0.143633571311148,1.97239863629849e-06
"19",15,"Ha",TRUE,0.0145158395529388,4.75187788361207,4.1067671314251,0.340454999998517
"20",40,"Ha",TRUE,0.206770342399763,2.20194483616782,0.365112918684812,0.703651355337675
"21",150,"Ha",TRUE,3.12571706580741e-06,4.00529222222523,4103.51748356824,0.772390858647497
