"","n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
"14995",15,3,TRUE,TRUE,"H0",0.265,0.52115405271084,0.922,0.99292311751618,0.063
"14996",45,3,TRUE,TRUE,"H0",0.328,0.202649642228038,0.739,0.993415079084592,0.016
"14997",150,3,TRUE,TRUE,"H0",0.214,0.122281872520789,0.337,0.434504218934507,0.007
"14998",15,3,FALSE,TRUE,"H0",0.036,3.89507911689415,0.192,0.931876106191876,0.165
"14999",45,3,FALSE,TRUE,"H0",0.493,0.141276311452856,0.25,0.157599107466202,0.011
"15000",150,3,FALSE,TRUE,"H0",0.226,0.13021022786568,0.55,0,0.007
"15001",15,3,TRUE,FALSE,"H0",0.53,0.263352756401938,0.459,0.797544587078238,0.018
"15002",45,3,TRUE,FALSE,"H0",0.72,0.0944702233698915,0.758,0.870651183381688,0.003
"15003",150,3,TRUE,FALSE,"H0",0.195,0.114941334478551,0.017,0.868260327994071,0.005
"15004",15,3,TRUE,TRUE,"Ha",0.051,1.77588452231527,0.847,0.98080774383698,0.105
"15005",45,3,TRUE,TRUE,"Ha",2.71e-06,16956.3540834777,0.087,0.824711234374147,0.159
"15006",150,3,TRUE,TRUE,"Ha",9.33e-13,200660810361.64,0.572,0.354025504523091,0.12
"15007",15,3,FALSE,TRUE,"Ha",0.023,6.35130512279249,0.528,0.0623551676428118,0.188
"15008",45,3,FALSE,TRUE,"Ha",0.002,35.2194788732138,0.095,0.151632732841367,0.091
"15009",150,3,FALSE,TRUE,"Ha",7.24e-10,95097030.8030869,0.266,0,0.09
"15010",15,3,TRUE,FALSE,"Ha",0.051,1.6233061904181,0.173,0.919808983214062,0.091
"15011",45,3,TRUE,FALSE,"Ha",0.003,9.7051487639125,0.018,0.999965931704099,0.042
"15012",150,3,TRUE,FALSE,"Ha",1.51e-17,372015236365344,0.131,0.85691424123073,0.101
"15013",15,3,TRUE,TRUE,"H0",0.826,0.188654319901789,0.926,0.976796273521787,0.007
"15014",45,3,TRUE,TRUE,"H0",0.758,0.093993897750709,0.264,0.985872190105185,0.004
"15015",150,3,TRUE,TRUE,"H0",0.878,0.027744297999846,0.344,0.710423582857749,0.000515
"15016",15,3,FALSE,TRUE,"H0",0.416,0.33074015427115,0.006,0.908190175319962,0.035
"15017",45,3,FALSE,TRUE,"H0",0.406,0.175622344347653,0.856,0.40264045768916,0.014
"15018",150,3,FALSE,TRUE,"H0",0.606,0.0412702942454026,0.703,5.47726089039635e-07,0.002
"15019",15,3,TRUE,FALSE,"H0",0.375,0.333782636867172,0.018,0.977256428256755,0.024
"15020",45,3,TRUE,FALSE,"H0",0.307,0.201721050937441,0.004,0.158731600557533,0.011
"15021",150,3,TRUE,FALSE,"H0",0.859,0.028299566153579,0.009,0.428473325815923,0.000382
"15022",15,3,TRUE,TRUE,"Ha",0.04,2.45936242720516,0.153,0.852081327518541,0.128
"15023",45,3,TRUE,TRUE,"Ha",0.000551,123.28558825813,0.043,0.635457825940086,0.106
"15024",150,3,TRUE,TRUE,"Ha",3.89e-05,1454.55094923257,0.128,0.549120096046109,0.047
"15025",15,3,FALSE,TRUE,"Ha",0.059,2.87086326197923,0.323,0.783579877812838,0.158
"15026",45,3,FALSE,TRUE,"Ha",0.164,0.363776741830537,0.375,0.214395656399455,0.023
"15027",150,3,FALSE,TRUE,"Ha",8.66e-05,534.679095188278,0.303,3.32688355753064e-08,0.043
"15028",15,3,TRUE,FALSE,"Ha",0.002,52.0532280517006,0.188,0.967735449547068,0.24
"15029",45,3,TRUE,FALSE,"Ha",0.02,1.98329885178598,0.583,0.840323064215174,0.026
"15030",150,3,TRUE,FALSE,"Ha",1.46e-11,543294787.476803,0.002,0.982427325812847,0.058
"15031",15,3,TRUE,TRUE,"H0",0.574,0.264621666437442,0.423,0.77273983793795,0.028
"15032",45,3,TRUE,TRUE,"H0",0.641,0.110962985809601,0.838,0.109666648930386,0.007
"15033",150,3,TRUE,TRUE,"H0",0.732,0.0340029459260581,0.037,0.754220177880996,0.001
"15034",15,3,FALSE,TRUE,"H0",0.274,0.493065065591987,0.28,0.777156138382707,0.058
"15035",45,3,FALSE,TRUE,"H0",0.747,0.0972925849595749,0.319,0.254629620798824,0.005
"15036",150,3,FALSE,TRUE,"H0",0.341,0.0777305744682447,0.738,1.62146962523479e-09,0.005
"15037",15,3,TRUE,FALSE,"H0",0.602,0.233868279765405,0.689,0.90381809958897,0.015
"15038",45,3,TRUE,FALSE,"H0",0.221,0.258460490490737,0.022,0.9357554044141,0.012
"15039",150,3,TRUE,FALSE,"H0",0.835,0.0293968820743906,0.000264,0.408256147501028,0.000481
"15040",15,3,TRUE,TRUE,"Ha",0.311,0.403070484685873,0.946,0.98205599425753,0.037
"15041",45,3,TRUE,TRUE,"Ha",0.000177,325.97088631226,0.081,0.998760094284466,0.116
"15042",150,3,TRUE,TRUE,"Ha",0.000522,80.4981009684006,0.227,0.751198886471484,0.035
"15043",15,3,FALSE,TRUE,"Ha",0.147,0.786603881426913,0.155,0.570768703780256,0.078
"15044",45,3,FALSE,TRUE,"Ha",0.012,9.80814617911994,0.894,0.144763776002237,0.078
"15045",150,3,FALSE,TRUE,"Ha",5.64e-08,696781.601343291,0.8,7.7715611723761e-16,0.07
"15046",15,3,TRUE,FALSE,"Ha",0.361,0.336154657786787,0.728,0.952859531572568,0.017
"15047",45,3,TRUE,FALSE,"Ha",0.00048,65.90799365979,0.036,0.417659020090194,0.079
"15048",150,3,TRUE,FALSE,"Ha",4.07e-21,1070733276156169472,0.01,0.27899690626818,0.106
"15049",15,3,TRUE,TRUE,"H0",0.21,0.609946999357275,0.709,0.975782972062506,0.066
"15050",45,3,TRUE,TRUE,"H0",0.535,0.130915371124124,0.536,0.908752694815789,0.01
"15051",150,3,TRUE,TRUE,"H0",0.244,0.117644944619603,0.851,0.986362427838335,0.005
"15052",15,3,FALSE,TRUE,"H0",0.384,0.383983019792773,0.972,0.989858113276672,0.049
"15053",45,3,FALSE,TRUE,"H0",0.036,1.56080673599325,0.318,0.0983952545981804,0.044
"15054",150,3,FALSE,TRUE,"H0",0.851,0.0290442871032129,0.793,0.000611227511936208,0.000736
"15055",15,3,TRUE,FALSE,"H0",0.207,0.502841456285843,0.222,0.951682315795089,0.032
"15056",45,3,TRUE,FALSE,"H0",0.422,0.149684037087576,0.045,0.995850985456993,0.01
"15057",150,3,TRUE,FALSE,"H0",0.334,0.068993737921695,2.77e-07,0.977200661747996,0.003
"15058",15,3,TRUE,TRUE,"Ha",0.153,0.937802984363145,0.647,0.986995676021387,0.097
"15059",45,3,TRUE,TRUE,"Ha",0.00056,154.14035139583,0.409,0.953418741488336,0.111
"15060",150,3,TRUE,TRUE,"Ha",1.64e-09,30213028.740055,0.477,0.937414133383015,0.085
"15061",15,3,FALSE,TRUE,"Ha",0.026,4.85022785005211,0.951,0.914562418761055,0.17
"15062",45,3,FALSE,TRUE,"Ha",0.018,4.53831170588343,0.076,0.132393502315962,0.064
"15063",150,3,FALSE,TRUE,"Ha",1.03e-08,3325737.50030512,0.248,9.56595032186591e-07,0.075
"15064",15,3,TRUE,FALSE,"Ha",0.185,0.618434718435678,0.729,0.921570005161849,0.061
"15065",45,3,TRUE,FALSE,"Ha",0.000632,45.6556889009844,0.003,0.990220368026314,0.068
"15066",150,3,TRUE,FALSE,"Ha",2.33e-14,283358985401.653,0.000216,0.50209724677855,0.078
"15067",15,3,TRUE,TRUE,"H0",0.531,0.295426836487446,0.336,0.83569753476726,0.036
"15068",45,3,TRUE,TRUE,"H0",0.204,0.342465024691828,0.132,0.745159624603339,0.025
"15069",150,3,TRUE,TRUE,"H0",0.419,0.0612177712646872,0.302,0.479750595376818,0.004
"15070",15,3,FALSE,TRUE,"H0",0.965,0.168040692574166,0.599,0.0746157692806563,0.002
"15071",45,3,FALSE,TRUE,"H0",0.42,0.16096455863871,0.214,0.132621872840709,0.012
"15072",150,3,FALSE,TRUE,"H0",0.436,0.0610273241573032,0.624,4.44278946964971e-10,0.004
"15073",15,3,TRUE,FALSE,"H0",0.782,0.194967000374712,0.07,0.995813946607797,0.009
"15074",45,3,TRUE,FALSE,"H0",0.912,0.0768921174695268,0.047,0.999129413335962,0.000717
"15075",150,3,TRUE,FALSE,"H0",0.486,0.0491445811072325,1.27e-06,0.985035691024228,0.002
"15076",15,3,TRUE,TRUE,"Ha",0.323,0.407824749957795,0.783,0.773575765600681,0.045
"15077",45,3,TRUE,TRUE,"Ha",0.002,40.0869452504311,0.206,0.781996200339772,0.092
"15078",150,3,TRUE,TRUE,"Ha",2.37e-08,2460084.12617945,0.916,0.632118464407703,0.076
"15079",15,3,FALSE,TRUE,"Ha",0.193,0.713107683716895,0.737,0.981708513830571,0.08
"15080",45,3,FALSE,TRUE,"Ha",0.011,6.39486358497827,0.571,0.0593511807119537,0.067
"15081",150,3,FALSE,TRUE,"Ha",2.04e-05,2004.85286694884,0.509,0.00120186891980312,0.048
"15082",15,3,TRUE,FALSE,"Ha",0.067,2.14212060229719,0.094,0.997731996064211,0.139
"15083",45,3,TRUE,FALSE,"Ha",9.24e-05,263.615051555519,0.338,0.812549659048735,0.085
"15084",150,3,TRUE,FALSE,"Ha",1.04e-13,72015933577.2797,0.000772,0.749751038538397,0.084
"15085",15,3,TRUE,TRUE,"H0",0.041,2.94457249640633,0.878,0.908612162990509,0.145
"15086",45,3,TRUE,TRUE,"H0",0.016,3.77551445028841,0.422,0.991861181037431,0.058
"15087",150,3,TRUE,TRUE,"H0",0.962,0.0255077255262737,0.149,0.197344796981529,0.00017
"15088",15,3,FALSE,TRUE,"H0",0.148,0.770971789473401,0.129,0.271347563374266,0.074
"15089",45,3,FALSE,TRUE,"H0",0.366,0.209075417063859,0.973,0.0353830464171644,0.017
"15090",150,3,FALSE,TRUE,"H0",0.157,0.183797415738906,0.733,6.29829521869851e-13,0.009
"15091",15,3,TRUE,FALSE,"H0",0.525,0.262321344281641,0.371,0.999145739339592,0.013
"15092",45,3,TRUE,FALSE,"H0",0.307,0.195321973153299,0.018,0.316893653233151,0.011
"15093",150,3,TRUE,FALSE,"H0",0.71,0.0339774090186371,0.022,0.298426040162092,0.000907
"15094",15,3,TRUE,TRUE,"Ha",0.873,0.180885759608188,0.039,0.928446515009019,0.006
"15095",45,3,TRUE,TRUE,"Ha",0.032,1.9365523538705,0.426,0.866129351667027,0.048
"15096",150,3,TRUE,TRUE,"Ha",1.12e-13,683192145098.316,0.177,0.814327205486763,0.122
"15097",15,3,FALSE,TRUE,"Ha",0.057,2.31471577115547,0.127,0.771327155557653,0.138
"15098",45,3,FALSE,TRUE,"Ha",0.126,0.551024682735148,0.347,0.036761373343332,0.032
"15099",150,3,FALSE,TRUE,"Ha",4.18e-06,11484.6489278698,0.194,4.973574956324e-06,0.055
"15100",15,3,TRUE,FALSE,"Ha",0.004,9.96172729648861,0.179,0.979707312074383,0.123
"15101",45,3,TRUE,FALSE,"Ha",0.012,3.3679345934485,0.01,0.916688847559124,0.042
"15102",150,3,TRUE,FALSE,"Ha",8.13e-11,104477699.216647,8.75e-07,0.860112877126107,0.059
"15103",15,3,TRUE,TRUE,"H0",0.556,0.281390613627565,0.574,0.501890204906059,0.033
"15104",45,3,TRUE,TRUE,"H0",0.696,0.102889834725087,0.105,0.763246675167864,0.006
"15105",150,3,TRUE,TRUE,"H0",0.485,0.0510334884985952,0.673,0.941261596042909,0.003
"15106",15,3,FALSE,TRUE,"H0",0.783,0.201118355964698,0.276,0.48542834868897,0.012
"15107",45,3,FALSE,TRUE,"H0",0.257,0.265999522245213,0.329,0.0564675733695104,0.021
"15108",150,3,FALSE,TRUE,"H0",0.132,0.21257685871311,0.468,1.86262864021458e-08,0.01
"15109",15,3,TRUE,FALSE,"H0",0.549,0.279079135297218,0.02,0.83265111105335,0.023
"15110",45,3,TRUE,FALSE,"H0",0.75,0.0916740352685046,0.02,0.991348761709279,0.003
"15111",150,3,TRUE,FALSE,"H0",0.076,0.286218922807595,1.58e-05,0.995638749236432,0.008
"15112",15,3,TRUE,TRUE,"Ha",0.68,0.232709445094233,0.508,0.878567711914063,0.02
"15113",45,3,TRUE,TRUE,"Ha",0.026,2.86251080410137,0.029,0.693871466303895,0.057
"15114",150,3,TRUE,TRUE,"Ha",9.14e-06,4856.3120538719,0.224,0.649387007435883,0.052
"15115",15,3,FALSE,TRUE,"Ha",0.269,0.5188986855284,0.514,0.802461712043458,0.064
"15116",45,3,FALSE,TRUE,"Ha",0.47,0.148084275774996,0.091,3.87402813045723e-05,0.012
"15117",150,3,FALSE,TRUE,"Ha",2.55e-08,1240610.52054485,0.417,1.7663329189288e-06,0.071
"15118",15,3,TRUE,FALSE,"Ha",0.024,3.41216218245774,0.878,0.932974343527161,0.131
"15119",45,3,TRUE,FALSE,"Ha",4.9e-05,559.47637874069,0.017,0.990726646934853,0.105
