"","n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
"1",15,3,TRUE,TRUE,"H0",0.864,0.183068283018935,0.096,0.971585480093561,0.006
"2",45,3,TRUE,TRUE,"H0",0.654,0.107213320843542,0.288,0.998286894335144,0.006
"3",150,3,TRUE,TRUE,"H0",0.291,0.0943238791708858,0.936,0.396730731918917,0.006
"4",15,3,FALSE,TRUE,"H0",0.094,1.42316435386102,0.357,0.897031623338871,0.116
"5",45,3,FALSE,TRUE,"H0",0.897,0.0793441906509911,0.808,0.0455277600652605,0.002
"6",150,3,FALSE,TRUE,"H0",0.636,0.0395694279131079,0.461,3.90394605531696e-10,0.002
"7",15,3,TRUE,FALSE,"H0",0.689,0.211670456681343,0.332,0.717536480716477,0.004
"8",45,3,TRUE,FALSE,"H0",0.29,0.209409110876893,0.008,0.937954458190642,0.013
"9",150,3,TRUE,FALSE,"H0",0.653,0.036362915264263,0.000516,0.630639909228787,0.001
"10",15,3,TRUE,TRUE,"Ha",0.002,57.3942838662375,0.846,0.896420089671614,0.269
"11",45,3,TRUE,TRUE,"Ha",0.091,0.858231767923984,0.848,0.996780706621096,0.04
"12",150,3,TRUE,TRUE,"Ha",1.36e-08,5153709.07489657,0.507,0.830637351729242,0.079
"13",15,3,FALSE,TRUE,"Ha",0.186,0.613199333803436,0.01,0.97786629098238,0.062
"14",45,3,FALSE,TRUE,"Ha",0.007,9.79664498572765,0.673,0.0151181225242917,0.072
"15",150,3,FALSE,TRUE,"Ha",0.00079,41.8220278740742,0.552,9.51420475736597e-09,0.032
"16",15,3,TRUE,FALSE,"Ha",0.196,0.534832891120397,0.145,0.983027452175306,0.04
"17",45,3,TRUE,FALSE,"Ha",0.002,18.2304503374371,0.036,0.733663753714392,0.062
"18",150,3,TRUE,FALSE,"Ha",2.66e-12,2952039471.88355,2.74e-05,0.143498483504861,0.073
"19",15,3,TRUE,TRUE,"H0",0.907,0.181719220720623,0.378,0.839561062772332,0.006
"20",45,3,TRUE,TRUE,"H0",0.389,0.16975574019998,0.2,0.94975584290961,0.013
"21",150,3,TRUE,TRUE,"H0",0.576,0.0436069809638964,0.308,0.747156366692254,0.002
"22",15,3,FALSE,TRUE,"H0",0.801,0.199372094748972,0.545,0.808093265660764,0.012
"23",45,3,FALSE,TRUE,"H0",0.35,0.211032745453233,0.727,0.295527966195919,0.017
"24",150,3,FALSE,TRUE,"H0",0.69,0.0357537425417518,0.994,0,0.002
"25",15,3,TRUE,FALSE,"H0",0.635,0.228864813117438,0.06,0.993247516246169,0.013
"26",45,3,TRUE,FALSE,"H0",0.156,0.338823570890675,0.000671,0.994987837034153,0.013
"27",150,3,TRUE,FALSE,"H0",0.999,0.0247288489998318,9.07e-05,0.83114881791371,3.64e-06
"28",15,3,TRUE,TRUE,"Ha",0.705,0.21280751665454,0.549,0.890653572140079,0.013
"29",45,3,TRUE,TRUE,"Ha",0.075,0.876564234522717,0.032,0.898458596751076,0.038
"30",150,3,TRUE,TRUE,"Ha",1.72e-05,2730.27740147631,0.29,0.665840758246306,0.049
"31",15,3,FALSE,TRUE,"Ha",0.005,41.0633613792762,0.971,0.816341398498508,0.272
"32",45,3,FALSE,TRUE,"Ha",0.052,1.48886074545422,0.39,0.00050529863926696,0.048
"33",150,3,FALSE,TRUE,"Ha",4.27e-10,102022866.055986,0.614,1.94701905487094e-07,0.089
"34",15,3,TRUE,FALSE,"Ha",0.098,1.16770941488626,0.136,0.967359559519759,0.097
"35",45,3,TRUE,FALSE,"Ha",1.73e-05,1185.24677280966,0.356,0.998287423082081,0.093
"36",150,3,TRUE,FALSE,"Ha",1.87e-09,5474759.18525882,0.034,0.920222446586278,0.057
"37",15,3,TRUE,TRUE,"H0",0.165,0.96659250398757,0.193,0.891501480608896,0.103
"38",45,3,TRUE,TRUE,"H0",0.986,0.0718761772405352,0.802,0.86951354324623,0.000215
"39",150,3,TRUE,TRUE,"H0",0.572,0.0436226444177966,0.555,0.895311100910628,0.002
"40",15,3,FALSE,TRUE,"H0",0.903,0.185748878935139,0.352,0.965401436737276,0.005
"41",45,3,FALSE,TRUE,"H0",0.409,0.170762588067189,0.193,0.00101965597167397,0.014
"42",150,3,FALSE,TRUE,"H0",0.958,0.0255538182600941,0.811,7.95973553735507e-09,0.000189
"43",15,3,TRUE,FALSE,"H0",0.42,0.309544437091413,0.217,0.924924052058928,0.026
"44",45,3,TRUE,FALSE,"H0",0.087,0.572255880621581,0.015,0.983890154453098,0.021
"45",150,3,TRUE,FALSE,"H0",0.065,0.318759554569142,0.013,0.701886801096123,0.007
"46",15,3,TRUE,TRUE,"Ha",0.504,0.289086166521529,0.225,0.995357948182703,0.031
"47",45,3,TRUE,TRUE,"Ha",0.003,27.5511075856997,0.536,0.882294368864531,0.089
"48",150,3,TRUE,TRUE,"Ha",5.43e-07,54473.5579815855,0.152,0.844618463832608,0.059
"49",15,3,FALSE,TRUE,"Ha",0.000118,1009.30420020945,0.959,0.998722632563901,0.351
"50",45,3,FALSE,TRUE,"Ha",0.006,15.375173159296,0.3,0.110401711574524,0.082
"51",150,3,FALSE,TRUE,"Ha",2.79e-10,1007036920.18687,0.827,7.56695812598185e-06,0.102
"52",15,3,TRUE,FALSE,"Ha",0.019,3.05531901922716,0.087,0.982503232611639,0.075
"53",45,3,TRUE,FALSE,"Ha",1.49e-05,1949.25406048254,0.003,0.23790002408858,0.123
"54",150,3,TRUE,FALSE,"Ha",1.43e-14,455437385965.508,0.023,0.775597571546053,0.076
"55",15,3,TRUE,TRUE,"H0",0.123,1.09055555389726,0.196,0.940987961728913,0.102
"56",45,3,TRUE,TRUE,"H0",0.915,0.0774901434440461,0.713,0.0782371528802335,0.002
"57",150,3,TRUE,TRUE,"H0",0.951,0.0254724905598254,0.824,0.992959686118118,0.000218
"58",15,3,FALSE,TRUE,"H0",0.474,0.317558947224644,0.917,0.610869453542888,0.038
"59",45,3,FALSE,TRUE,"H0",0.316,0.227310641337124,0.795,0.0345469657701338,0.019
"60",150,3,FALSE,TRUE,"H0",0.212,0.12120198470066,0.287,1.7331499613249e-07,0.007
"61",15,3,TRUE,FALSE,"H0",0.884,0.177376342333899,0.194,0.982090141276609,0.003
"62",45,3,TRUE,FALSE,"H0",0.368,0.167077377519469,0.038,0.982027604593464,0.009
"63",150,3,TRUE,FALSE,"H0",0.429,0.0546796833946927,0.227,0.793699444474997,0.002
"64",15,3,TRUE,TRUE,"Ha",0.761,0.205913346320079,0.642,0.919518567063767,0.012
"65",45,3,TRUE,TRUE,"Ha",0.141,0.44896828342828,0.932,0.711735932762562,0.027
"66",150,3,TRUE,TRUE,"Ha",2.73e-09,22776944.6241974,0.853,0.62607110782562,0.085
"67",15,3,FALSE,TRUE,"Ha",0.327,0.488049729929706,0.366,0.917408201083413,0.065
"68",45,3,FALSE,TRUE,"Ha",0.002,73.3820584515709,0.264,0.204754164528364,0.106
"69",150,3,FALSE,TRUE,"Ha",1.36e-14,22367957951136.5,0.324,3.67846040938424e-06,0.138
"70",15,3,TRUE,FALSE,"Ha",0.078,1.05270511325315,0.175,0.990187635385457,0.058
"71",45,3,TRUE,FALSE,"Ha",0.13,0.41709167201296,0.008,0.649740788024501,0.019
"72",150,3,TRUE,FALSE,"Ha",3.3e-12,2277017028.78817,0.01,0.230562468754538,0.06
"73",15,3,TRUE,TRUE,"H0",0.124,0.995202863331408,0.752,0.980073766872015,0.093
"74",45,3,TRUE,TRUE,"H0",0.921,0.0809066095129863,0.214,0.566600575350097,0.001
"75",150,3,TRUE,TRUE,"H0",0.955,0.0257952577818147,0.828,0.851984800878756,0.000213
"76",15,3,FALSE,TRUE,"H0",0.881,0.185410588612449,0.17,0.947383266495649,0.007
"77",45,3,FALSE,TRUE,"H0",0.853,0.0834444564055491,0.385,0.00326186392172079,0.002
"78",150,3,FALSE,TRUE,"H0",0.649,0.0378095059555665,0.526,8.85358453217577e-12,0.002
"79",15,3,TRUE,FALSE,"H0",0.427,0.302930416183538,0.337,0.720066194028228,0.021
"80",45,3,TRUE,FALSE,"H0",0.75,0.0914440309638055,0.073,0.776282032591128,0.002
"81",150,3,TRUE,FALSE,"H0",0.617,0.0388338901613738,0.027,0.842044399192543,0.001
"82",15,3,TRUE,TRUE,"Ha",0.052,2.30437110984036,0.092,0.829161363855907,0.135
"83",45,3,TRUE,TRUE,"Ha",0.002,29.28724786606,0.013,0.548071308138278,0.088
"84",150,3,TRUE,TRUE,"Ha",2.42e-09,80120593.9571249,0.578,0.358897234446924,0.092
"85",15,3,FALSE,TRUE,"Ha",0.109,1.063591019646,0.225,0.86865659897049,0.093
"86",45,3,FALSE,TRUE,"Ha",7.68e-06,6250.04378960618,0.873,0.283251776887553,0.149
"87",150,3,FALSE,TRUE,"Ha",2.87e-07,187528.035398868,0.614,3.85176224249051e-10,0.066
"88",15,3,TRUE,FALSE,"Ha",0.001,29.9845439988001,0.789,0.997609266562889,0.124
"89",45,3,TRUE,FALSE,"Ha",0.000195,128.021240810429,0.018,0.96910479523225,0.068
"90",150,3,TRUE,FALSE,"Ha",3.06e-18,1758630027307878,4.06e-10,0.763518174760487,0.102
"91",15,3,TRUE,TRUE,"H0",0.637,0.236525340796111,0.583,0.89193984663844,0.02
"92",45,3,TRUE,TRUE,"H0",0.534,0.133007796855118,0.075,0.935715328230061,0.01
"93",150,3,TRUE,TRUE,"H0",0.518,0.0493743679687091,0.376,0.684287373520116,0.003
"94",15,3,FALSE,TRUE,"H0",0.161,0.707537273719345,0.845,0.495663455738587,0.07
"95",45,3,FALSE,TRUE,"H0",0.015,4.43088743191038,0.411,0.0547180643814105,0.062
"96",150,3,FALSE,TRUE,"H0",0.166,0.158124936634486,0.914,2.39130548695954e-09,0.008
"97",15,3,TRUE,FALSE,"H0",0.773,0.195192549389976,0.149,0.218580506656273,0.006
"98",45,3,TRUE,FALSE,"H0",0.138,0.390056529014872,0.000251,0.923042855078907,0.016
"99",150,3,TRUE,FALSE,"H0",0.845,0.0288835782249584,2.29e-05,0.903394083851402,0.000476
"100",15,3,TRUE,TRUE,"Ha",0.373,0.428668665996805,0.375,0.991616211396446,0.059
"101",45,3,TRUE,TRUE,"Ha",0.001,49.9583944340616,0.894,0.739831706231312,0.096
"102",150,3,TRUE,TRUE,"Ha",1.56e-07,164173.623583909,0.397,0.85010260595872,0.063
"103",15,3,FALSE,TRUE,"Ha",0.089,1.05229048397751,0.979,0.786192103727047,0.076
"104",45,3,FALSE,TRUE,"Ha",0.004,12.915468203502,0.606,0.408274801737526,0.073
"105",150,3,FALSE,TRUE,"Ha",3.4e-10,376692433.14677,0.634,1.06360188822929e-06,0.097
"106",15,3,TRUE,FALSE,"Ha",0.032,2.0091023155266,0.518,0.956257351071267,0.059
"107",45,3,TRUE,FALSE,"Ha",8.33e-05,305.009115558458,0.008,0.346314284484697,0.091
"108",150,3,TRUE,FALSE,"Ha",2.09e-14,355887706869.483,8.42e-08,0.901235369228751,0.091
"109",15,3,TRUE,TRUE,"H0",0.715,0.219053806459219,0.999,0.825584209449623,0.017
"110",45,3,TRUE,TRUE,"H0",0.464,0.146385360951058,0.554,0.372239284591804,0.01
"111",150,3,TRUE,TRUE,"H0",0.743,0.032523517947252,0.433,0.962806287377745,0.001
"112",15,3,FALSE,TRUE,"H0",0.057,2.09371681323573,0.098,0.829603300950808,0.129
"113",45,3,FALSE,TRUE,"H0",0.04,1.58680061033215,0.714,0.168690920220263,0.046
"114",150,3,FALSE,TRUE,"H0",0.784,0.0321912894569606,0.072,1.71047888519738e-07,0.001
"115",15,3,TRUE,FALSE,"H0",0.416,0.359130351219817,0.384,0.86727878791826,0.045
"116",45,3,TRUE,FALSE,"H0",0.674,0.101878279883164,0.038,0.854505979234353,0.003
"117",150,3,TRUE,FALSE,"H0",0.286,0.0806378828378457,0.009,0.547870124314261,0.003
"118",15,3,TRUE,TRUE,"Ha",0.07,2.13459160215669,0.037,0.986406543767466,0.14
"119",45,3,TRUE,TRUE,"Ha",7.09e-05,1874.14908700495,0.795,0.911605885250287,0.142
"120",150,3,TRUE,TRUE,"Ha",1.63e-09,31623007.1996842,0.443,0.69436208038496,0.085
"121",15,3,FALSE,TRUE,"Ha",0.05,1.72791762702635,0.31,0.678160535984526,0.098
"122",45,3,FALSE,TRUE,"Ha",0.046,1.25655410661044,0.598,0.530003034600026,0.041
"123",150,3,FALSE,TRUE,"Ha",1.55e-10,457059643.026383,0.043,4.55265158905149e-10,0.096
"124",15,3,TRUE,FALSE,"Ha",0.000783,48.2588646756598,0.187,0.991639005960919,0.185
"125",45,3,TRUE,FALSE,"Ha",0.00078,37.3603388635866,0.11,0.58481647539788,0.061
"126",150,3,TRUE,FALSE,"Ha",3.62e-13,20501278055.549,0.003,0.486658135160886,0.075
"127",15,3,TRUE,TRUE,"H0",0.812,0.199490600252015,0.514,0.956186352462447,0.013
"128",45,3,TRUE,TRUE,"H0",0.987,0.0716656321873337,0.344,0.808096152177609,0.000187
"129",150,3,TRUE,TRUE,"H0",0.168,0.150807275430234,0.41,0.416676606230927,0.008
"130",15,3,FALSE,TRUE,"H0",0.305,0.463610841644915,0.221,0.9313267608751,0.059
"131",45,3,FALSE,TRUE,"H0",0.708,0.101335899122065,0.433,0.437713277981953,0.005
"132",150,3,FALSE,TRUE,"H0",0.883,0.027741687310249,0.364,4.27674773595399e-07,0.000569
"133",15,3,TRUE,FALSE,"H0",0.478,0.275145372014745,0.784,0.975826802525101,0.019
"134",45,3,TRUE,FALSE,"H0",0.672,0.103076678598152,0.004,0.94434675149977,0.004
"135",150,3,TRUE,FALSE,"H0",0.997,0.0245641552402905,4.71e-05,0.887483373134326,8.11e-06
"136",15,3,TRUE,TRUE,"Ha",0.207,0.619122271518274,0.11,0.991349258132333,0.069
"137",45,3,TRUE,TRUE,"Ha",0.014,6.07508087087406,0.767,0.426660647436186,0.069
"138",150,3,TRUE,TRUE,"Ha",2.32e-10,221584341.451127,0.279,0.412830313861913,0.092
"139",15,3,FALSE,TRUE,"Ha",0.439,0.342074558677072,0.339,0.702199647861532,0.042
"140",45,3,FALSE,TRUE,"Ha",0.27,0.231512060223122,0.662,0.00024448131990773,0.017
"141",150,3,FALSE,TRUE,"Ha",4.19e-06,13167.3080435664,0.031,3.33066907387547e-16,0.056
"142",15,3,TRUE,FALSE,"Ha",0.028,2.71056081707975,0.47,0.869320050265981,0.114
"143",45,3,TRUE,FALSE,"Ha",4.01e-05,513.702948117952,0.005,0.984987216237634,0.07
"144",150,3,TRUE,FALSE,"Ha",2.68e-16,22262238011216.7,0.000871,0.956379381351264,0.09
"145",15,3,TRUE,TRUE,"H0",0.301,0.470443891518,0.88,0.997964373589918,0.059
"146",45,3,TRUE,TRUE,"H0",0.979,0.0727097319212693,0.886,0.973335991973417,0.000325
"147",150,3,TRUE,TRUE,"H0",0.675,0.0362492940540595,0.383,0.406086186345668,0.002
"148",15,3,FALSE,TRUE,"H0",0.254,0.511426865760675,0.331,0.823539323455309,0.056
"149",45,3,FALSE,TRUE,"H0",0.665,0.106238436398577,0.097,0.00410657188965446,0.007
"150",150,3,FALSE,TRUE,"H0",0.701,0.0352972619923198,0.226,2.50721730543635e-06,0.002
"151",15,3,TRUE,FALSE,"H0",0.086,1.28723726087131,0.242,0.898457688152827,0.1
"152",45,3,TRUE,FALSE,"H0",0.793,0.101233341110005,0.204,0.659021099535271,0.001
"153",150,3,TRUE,FALSE,"H0",0.305,0.0754942113907617,0.003,0.61409563922278,0.003
"154",15,3,TRUE,TRUE,"Ha",0.445,0.325931777021823,0.664,0.979377311858474,0.038
"155",45,3,TRUE,TRUE,"Ha",0.000888,114.449950481515,0.555,0.962067897466077,0.108
"156",150,3,TRUE,TRUE,"Ha",0.000154,370.622930451117,0.969,0.957073446218556,0.042
"157",15,3,FALSE,TRUE,"Ha",0.056,1.98695224772756,0.065,0.949005944499986,0.124
"158",45,3,FALSE,TRUE,"Ha",0.563,0.124906680862942,0.095,0.149118838937561,0.009
"159",150,3,FALSE,TRUE,"Ha",3.32e-09,54483104.3117914,0.883,5.53099683252567e-05,0.09
"160",15,3,TRUE,FALSE,"Ha",0.072,1.20166516623331,0.068,0.955042272992631,0.077
"161",45,3,TRUE,FALSE,"Ha",0.000272,91.963990213962,0.073,0.956701435640932,0.056
"162",150,3,TRUE,FALSE,"Ha",1.35e-10,64214838.1394103,5.75e-09,0.989579233126926,0.058
"163",15,3,TRUE,TRUE,"H0",0.771,0.208906999935884,0.6,0.997748069107765,0.016
"164",45,3,TRUE,TRUE,"H0",0.797,0.0889826648803603,0.243,0.00220723487861518,0.003
"165",150,3,TRUE,TRUE,"H0",0.73,0.0337345758131565,0.329,0.372325923816727,0.001
"166",15,3,FALSE,TRUE,"H0",0.017,4.76041511091139,0.934,0.111211089946867,0.146
"167",45,3,FALSE,TRUE,"H0",0.964,0.0794538926105915,0.938,0.424479348748763,0.000541
"168",150,3,FALSE,TRUE,"H0",0.421,0.0588571298882301,0.101,7.82905962282143e-11,0.004
"169",15,3,TRUE,FALSE,"H0",0.117,0.773958758837557,0.689,0.991032163944924,0.044
"170",45,3,TRUE,FALSE,"H0",0.33,0.180129427076633,0.143,0.641083424291773,0.008
"171",150,3,TRUE,FALSE,"H0",0.758,0.0330498483724352,3.38e-08,0.775488327481496,0.000796
"172",15,3,TRUE,TRUE,"Ha",0.179,0.821053771144937,0.257,0.774459043753968,0.09
"173",45,3,TRUE,TRUE,"Ha",0.005,15.8628745793944,0.192,0.963553546125043,0.081
"174",150,3,TRUE,TRUE,"Ha",1.47e-09,75399797.5657687,0.808,0.446748601179065,0.091
"175",15,3,FALSE,TRUE,"Ha",0.00032,165.480809964592,0.509,0.697369240783658,0.261
"176",45,3,FALSE,TRUE,"Ha",0.035,2.2697269477887,0.147,0.397360839875101,0.054
"177",150,3,FALSE,TRUE,"Ha",9.63e-09,6285457.84435873,0.862,4.72749579604193e-05,0.08
"178",15,3,TRUE,FALSE,"Ha",0.162,0.612421290771233,0.235,0.976002942650618,0.042
"179",45,3,TRUE,FALSE,"Ha",3.93e-05,547.838064112379,0.107,0.33763399746847,0.081
"180",150,3,TRUE,FALSE,"Ha",8.16e-13,9158129542.19226,0.02,0.692326970439143,0.07
"181",15,3,TRUE,TRUE,"H0",0.462,0.334637867928083,0.299,0.876223010518752,0.043
"182",45,3,TRUE,TRUE,"H0",0.639,0.103161266170054,0.694,0.998810357381564,0.007
"183",150,3,TRUE,TRUE,"H0",0.965,0.026220483558372,0.589,0.397145718541077,0.000173
"184",15,3,FALSE,TRUE,"H0",0.397,0.325907020666838,0.669,0.946756942816314,0.029
"185",45,3,FALSE,TRUE,"H0",0.274,0.240465918341987,0.799,0.00160679900618133,0.018
"186",150,3,FALSE,TRUE,"H0",0.355,0.0698321856028814,0.085,1.59983137848485e-13,0.005
"187",15,3,TRUE,FALSE,"H0",0.616,0.229819387770135,0.285,0.953601126085901,0.009
"188",45,3,TRUE,FALSE,"H0",0.944,0.0742422626473227,0.071,0.975314922692079,0.000602
"189",150,3,TRUE,FALSE,"H0",0.311,0.0733621396799769,0.002,0.809677081567863,0.003
"190",15,3,TRUE,TRUE,"Ha",0.11,1.16167264915944,0.993,0.996201303141627,0.103
"191",45,3,TRUE,TRUE,"Ha",0.013,4.37432739606231,0.423,0.979662384247664,0.059
"192",150,3,TRUE,TRUE,"Ha",1.09e-08,5014765.44199867,0.642,0.961590579945841,0.078
"193",15,3,FALSE,TRUE,"Ha",0.687,0.224812414563142,0.152,0.841913704452684,0.018
"194",45,3,FALSE,TRUE,"Ha",0.006,8.56093095890392,0.619,0.000922589081039038,0.067
"195",150,3,FALSE,TRUE,"Ha",1.5e-09,21504927.452882,0.778,9.55271195479668e-10,0.082
"196",15,3,TRUE,FALSE,"Ha",0.351,0.360722258342869,0.077,0.970810818192625,0.035
"197",45,3,TRUE,FALSE,"Ha",2e-05,1145.8327873376,0.091,0.87935776498026,0.105
"198",150,3,TRUE,FALSE,"Ha",1.59e-14,458410107616.666,0.000682,0.931046317369968,0.091
"199",15,3,TRUE,TRUE,"H0",0.541,0.267503158164725,0.651,0.999198905774055,0.021
"200",45,3,TRUE,TRUE,"H0",0.95,0.075585905478909,0.599,0.500101201668567,0.000874
"201",150,3,TRUE,TRUE,"H0",0.76,0.0321112213669375,0.164,0.0758136154895148,0.001
"202",15,3,FALSE,TRUE,"H0",0.032,3.33404698060291,0.33,0.756317324772831,0.146
"203",45,3,FALSE,TRUE,"H0",0.409,0.171466581031833,0.905,0.103110639391143,0.014
"204",150,3,FALSE,TRUE,"H0",0.871,0.0281867386897428,0.891,8.23918711034821e-12,0.000622
"205",15,3,TRUE,FALSE,"H0",0.122,0.746971734755157,0.205,0.880254345839186,0.041
"206",45,3,TRUE,FALSE,"H0",0.884,0.0782686283818176,0.001,0.179995776876372,0.001
"207",150,3,TRUE,FALSE,"H0",0.363,0.0647394598175889,5.42e-07,0.788134447649714,0.003
"208",15,3,TRUE,TRUE,"Ha",0.425,0.348407663854885,0.697,0.903756887568557,0.041
"209",45,3,TRUE,TRUE,"Ha",0.011,4.46062170480253,0.296,0.988948141987665,0.056
"210",150,3,TRUE,TRUE,"Ha",1.05e-05,3207.00830065936,0.691,0.872364019639892,0.049
"211",15,3,FALSE,TRUE,"Ha",0.555,0.281631639931756,0.705,0.90195858164696,0.032
"212",45,3,FALSE,TRUE,"Ha",0.128,0.492287405383391,0.931,0.398914268795479,0.029
"213",150,3,FALSE,TRUE,"Ha",3.11e-05,1912.42429441416,0.629,1.03709016263664e-07,0.049
"214",15,3,TRUE,FALSE,"Ha",0.035,1.86256108944652,0.093,0.999920731976157,0.052
"215",45,3,TRUE,FALSE,"Ha",9.14e-05,244.654933066503,0.063,0.578744826791098,0.069
"216",150,3,TRUE,FALSE,"Ha",2.05e-12,3712917978.57165,0.005,0.231078981708941,0.066
"217",15,3,TRUE,TRUE,"H0",0.161,0.883132943657898,0.124,0.863526906080125,0.093
"218",45,3,TRUE,TRUE,"H0",0.176,0.354613619954557,0.553,0.953223126165503,0.023
"219",150,3,TRUE,TRUE,"H0",0.404,0.0603799752230263,0.601,0.280363872653587,0.004
"220",15,3,FALSE,TRUE,"H0",0.801,0.197389821758725,0.916,0.295524469504579,0.012
"221",45,3,FALSE,TRUE,"H0",0.134,0.465526311638939,0.581,0.234347486469668,0.027
"222",150,3,FALSE,TRUE,"H0",0.115,0.226756839778622,0.887,1.62889368660046e-10,0.01
"223",15,3,TRUE,FALSE,"H0",0.36,0.355460863436346,0.042,0.998099474854098,0.035
"224",45,3,TRUE,FALSE,"H0",0.668,0.0985991370581954,0.105,0.596534754650195,0.004
"225",150,3,TRUE,FALSE,"H0",0.473,0.0504786206997238,0.000482,0.901611914865397,0.002
"226",15,3,TRUE,TRUE,"Ha",0.607,0.24979061893407,0.475,0.978800329119785,0.025
"227",45,3,TRUE,TRUE,"Ha",0.081,0.951169880283045,0.013,0.80599803477389,0.041
"228",150,3,TRUE,TRUE,"Ha",4.73e-09,17066837.506524,0.482,0.967471952630766,0.084
"229",15,3,FALSE,TRUE,"Ha",0.272,0.518472020961267,0.44,0.810578551246935,0.065
"230",45,3,FALSE,TRUE,"Ha",0.043,1.88623658900408,0.555,0.0119531730820377,0.051
"231",150,3,FALSE,TRUE,"Ha",9.24e-06,3368.45981254162,0.905,2.39068764784633e-11,0.049
"232",15,3,TRUE,FALSE,"Ha",0.003,20.82018586987,0.832,0.570902267304573,0.188
"233",45,3,TRUE,FALSE,"Ha",1.44e-05,1460.49876168616,0.003,0.935585391584589,0.101
"234",150,3,TRUE,FALSE,"Ha",3.9e-11,338409179.09133,0.002,0.770347708870585,0.068
"235",15,3,TRUE,TRUE,"H0",0.523,0.27270267015878,0.73,0.812585391558901,0.026
"236",45,3,TRUE,TRUE,"H0",0.075,1.04421373256659,0.34,0.71544417983298,0.042
"237",150,3,TRUE,TRUE,"H0",0.501,0.0490816196153758,0.486,0.601172803122795,0.003
"238",15,3,FALSE,TRUE,"H0",0.196,0.704019289497667,0.78,0.936600272380028,0.08
"239",45,3,FALSE,TRUE,"H0",0.649,0.110179997391136,0.09,0.00117681424879634,0.007
"240",150,3,FALSE,TRUE,"H0",0.706,0.0345370910289055,0.39,0,0.001
"241",15,3,TRUE,FALSE,"H0",0.243,0.510506844300464,0.192,0.961217046487796,0.05
"242",45,3,TRUE,FALSE,"H0",0.752,0.0913652751436413,0.187,0.89305471968492,0.002
"243",150,3,TRUE,FALSE,"H0",0.969,0.0252777133078462,0.024,0.925635605437236,7.2e-05
"244",15,3,TRUE,TRUE,"Ha",0.378,0.422935505852954,0.708,0.97985784713382,0.058
"245",45,3,TRUE,TRUE,"Ha",0.007,7.61087495456708,0.983,0.930808688337981,0.066
"246",150,3,TRUE,TRUE,"Ha",5.19e-07,108011.168753833,0.053,0.190924781571759,0.064
"247",15,3,FALSE,TRUE,"Ha",0.055,2.79660151034803,0.665,0.476521193820056,0.153
"248",45,3,FALSE,TRUE,"Ha",0.002,22.9712758709717,0.879,0.00156968821775672,0.082
"249",150,3,FALSE,TRUE,"Ha",9.49e-08,850017.570149536,0.437,0,0.073
"250",15,3,TRUE,FALSE,"Ha",0.068,1.96934948138811,0.771,0.762721685188313,0.131
"251",45,3,TRUE,FALSE,"Ha",0.18,0.321901041424386,0.03,0.97122490535352,0.019
"252",150,3,TRUE,FALSE,"Ha",6.12e-12,1329375475.02715,0.002,0.846678517299572,0.071
"253",15,3,TRUE,TRUE,"H0",0.118,1.38609844730209,0.862,0.923072603666297,0.12
"254",45,3,TRUE,TRUE,"H0",0.596,0.121880214723926,0.393,0.933483433784654,0.008
"255",150,3,TRUE,TRUE,"H0",0.796,0.0308009785412707,0.194,0.600883105087175,0.001
"256",15,3,FALSE,TRUE,"H0",0.126,0.96811000553928,0.511,0.981573385531915,0.091
"257",45,3,FALSE,TRUE,"H0",0.492,0.143411716978031,0.965,0.019984007044766,0.011
"258",150,3,FALSE,TRUE,"H0",0.93,0.0264214796591138,0.037,5.55111512312578e-16,0.000297
"259",15,3,TRUE,FALSE,"H0",0.771,0.199374026237805,0.931,0.765996935938218,0.009
"260",45,3,TRUE,FALSE,"H0",0.537,0.12508358786614,0.009,0.905114256177016,0.006
"261",150,3,TRUE,FALSE,"H0",0.38,0.0606774492523507,0.000355,0.860695138454176,0.002
"262",15,3,TRUE,TRUE,"Ha",0.732,0.221403531850768,0.526,0.886396906796399,0.02
"263",45,3,TRUE,TRUE,"Ha",0.002,52.5258782283068,0.073,0.724192972798959,0.101
"264",150,3,TRUE,TRUE,"Ha",1.53e-06,26604.3283687251,0.949,0.593417200219732,0.058
"265",15,3,FALSE,TRUE,"Ha",0.006,9.7046918422543,0.688,0.941352325030084,0.161
"266",45,3,FALSE,TRUE,"Ha",0.000727,189.700048144537,0.405,0.256874690158122,0.119
"267",150,3,FALSE,TRUE,"Ha",4.05e-09,24921733.5527661,0.722,2.07641449589957e-08,0.086
"268",15,3,TRUE,FALSE,"Ha",0.361,0.350255804177185,0.601,0.989492027985408,0.034
"269",45,3,TRUE,FALSE,"Ha",9.12e-05,259.335923602602,0.451,0.887875301748445,0.078
"270",150,3,TRUE,FALSE,"Ha",6.64e-12,1261501479.28283,0.004,0.987875974285874,0.074
"271",15,3,TRUE,TRUE,"H0",0.833,0.188992466762882,0.7,0.993520120637152,0.007
"272",45,3,TRUE,TRUE,"H0",0.461,0.15015554452309,0.454,0.396043247091694,0.011
"273",150,3,TRUE,TRUE,"H0",0.037,0.731894337829857,0.948,0.697738405211461,0.015
"274",15,3,FALSE,TRUE,"H0",0.957,0.169647175258688,0.921,0.640446346577343,0.002
"275",45,3,FALSE,TRUE,"H0",0.921,0.0765828209232897,0.076,0.0266545559318558,0.001
