"n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
15,3,TRUE,TRUE,"H0",0.864,0.183068283018935,0.096,0.971585480093561,0.006
45,3,TRUE,TRUE,"H0",0.654,0.107213320843542,0.288,0.998286894335144,0.006
150,3,TRUE,TRUE,"H0",0.291,0.0943238791708858,0.936,0.396730731918917,0.006
15,3,FALSE,TRUE,"H0",0.094,1.42316435386102,0.357,0.897031623338871,0.116
45,3,FALSE,TRUE,"H0",0.897,0.0793441906509911,0.808,0.0455277600652605,0.002
150,3,FALSE,TRUE,"H0",0.636,0.0395694279131079,0.461,3.90394605531696e-10,0.002
15,3,TRUE,FALSE,"H0",0.689,0.211670456681343,0.332,0.717536480716477,0.004
45,3,TRUE,FALSE,"H0",0.29,0.209409110876893,0.008,0.937954458190642,0.013
150,3,TRUE,FALSE,"H0",0.653,0.036362915264263,0.000516,0.630639909228787,0.001
15,3,TRUE,TRUE,"Ha",0.002,57.3942838662375,0.846,0.896420089671614,0.269
45,3,TRUE,TRUE,"Ha",0.091,0.858231767923984,0.848,0.996780706621096,0.04
150,3,TRUE,TRUE,"Ha",1.36e-08,5153709.07489657,0.507,0.830637351729242,0.079
15,3,FALSE,TRUE,"Ha",0.186,0.613199333803436,0.01,0.97786629098238,0.062
45,3,FALSE,TRUE,"Ha",0.007,9.79664498572765,0.673,0.0151181225242917,0.072
150,3,FALSE,TRUE,"Ha",0.00079,41.8220278740742,0.552,9.51420475736597e-09,0.032
15,3,TRUE,FALSE,"Ha",0.196,0.534832891120397,0.145,0.983027452175306,0.04
45,3,TRUE,FALSE,"Ha",0.002,18.2304503374371,0.036,0.733663753714392,0.062
150,3,TRUE,FALSE,"Ha",2.66e-12,2952039471.88355,2.74e-05,0.143498483504861,0.073
15,3,TRUE,TRUE,"H0",0.907,0.181719220720623,0.378,0.839561062772332,0.006
45,3,TRUE,TRUE,"H0",0.389,0.16975574019998,0.2,0.94975584290961,0.013
150,3,TRUE,TRUE,"H0",0.576,0.0436069809638964,0.308,0.747156366692254,0.002
15,3,FALSE,TRUE,"H0",0.801,0.199372094748972,0.545,0.808093265660764,0.012
45,3,FALSE,TRUE,"H0",0.35,0.211032745453233,0.727,0.295527966195919,0.017
150,3,FALSE,TRUE,"H0",0.69,0.0357537425417518,0.994,0,0.002
15,3,TRUE,FALSE,"H0",0.635,0.228864813117438,0.06,0.993247516246169,0.013
45,3,TRUE,FALSE,"H0",0.156,0.338823570890675,0.000671,0.994987837034153,0.013
150,3,TRUE,FALSE,"H0",0.999,0.0247288489998318,9.07e-05,0.83114881791371,3.64e-06
15,3,TRUE,TRUE,"Ha",0.705,0.21280751665454,0.549,0.890653572140079,0.013
45,3,TRUE,TRUE,"Ha",0.075,0.876564234522717,0.032,0.898458596751076,0.038
150,3,TRUE,TRUE,"Ha",1.72e-05,2730.27740147631,0.29,0.665840758246306,0.049
15,3,FALSE,TRUE,"Ha",0.005,41.0633613792762,0.971,0.816341398498508,0.272
45,3,FALSE,TRUE,"Ha",0.052,1.48886074545422,0.39,0.00050529863926696,0.048
150,3,FALSE,TRUE,"Ha",4.27e-10,102022866.055986,0.614,1.94701905487094e-07,0.089
15,3,TRUE,FALSE,"Ha",0.098,1.16770941488626,0.136,0.967359559519759,0.097
45,3,TRUE,FALSE,"Ha",1.73e-05,1185.24677280966,0.356,0.998287423082081,0.093
150,3,TRUE,FALSE,"Ha",1.87e-09,5474759.18525882,0.034,0.920222446586278,0.057
15,3,TRUE,TRUE,"H0",0.165,0.96659250398757,0.193,0.891501480608896,0.103
45,3,TRUE,TRUE,"H0",0.986,0.0718761772405352,0.802,0.86951354324623,0.000215
150,3,TRUE,TRUE,"H0",0.572,0.0436226444177966,0.555,0.895311100910628,0.002
15,3,FALSE,TRUE,"H0",0.903,0.185748878935139,0.352,0.965401436737276,0.005
45,3,FALSE,TRUE,"H0",0.409,0.170762588067189,0.193,0.00101965597167397,0.014
150,3,FALSE,TRUE,"H0",0.958,0.0255538182600941,0.811,7.95973553735507e-09,0.000189
15,3,TRUE,FALSE,"H0",0.42,0.309544437091413,0.217,0.924924052058928,0.026
45,3,TRUE,FALSE,"H0",0.087,0.572255880621581,0.015,0.983890154453098,0.021
150,3,TRUE,FALSE,"H0",0.065,0.318759554569142,0.013,0.701886801096123,0.007
15,3,TRUE,TRUE,"Ha",0.504,0.289086166521529,0.225,0.995357948182703,0.031
45,3,TRUE,TRUE,"Ha",0.003,27.5511075856997,0.536,0.882294368864531,0.089
150,3,TRUE,TRUE,"Ha",5.43e-07,54473.5579815855,0.152,0.844618463832608,0.059
15,3,FALSE,TRUE,"Ha",0.000118,1009.30420020945,0.959,0.998722632563901,0.351
45,3,FALSE,TRUE,"Ha",0.006,15.375173159296,0.3,0.110401711574524,0.082
150,3,FALSE,TRUE,"Ha",2.79e-10,1007036920.18687,0.827,7.56695812598185e-06,0.102
15,3,TRUE,FALSE,"Ha",0.019,3.05531901922716,0.087,0.982503232611639,0.075
45,3,TRUE,FALSE,"Ha",1.49e-05,1949.25406048254,0.003,0.23790002408858,0.123
150,3,TRUE,FALSE,"Ha",1.43e-14,455437385965.508,0.023,0.775597571546053,0.076
15,3,TRUE,TRUE,"H0",0.123,1.09055555389726,0.196,0.940987961728913,0.102
45,3,TRUE,TRUE,"H0",0.915,0.0774901434440461,0.713,0.0782371528802335,0.002
150,3,TRUE,TRUE,"H0",0.951,0.0254724905598254,0.824,0.992959686118118,0.000218
15,3,FALSE,TRUE,"H0",0.474,0.317558947224644,0.917,0.610869453542888,0.038
45,3,FALSE,TRUE,"H0",0.316,0.227310641337124,0.795,0.0345469657701338,0.019
150,3,FALSE,TRUE,"H0",0.212,0.12120198470066,0.287,1.7331499613249e-07,0.007
15,3,TRUE,FALSE,"H0",0.884,0.177376342333899,0.194,0.982090141276609,0.003
45,3,TRUE,FALSE,"H0",0.368,0.167077377519469,0.038,0.982027604593464,0.009
150,3,TRUE,FALSE,"H0",0.429,0.0546796833946927,0.227,0.793699444474997,0.002
15,3,TRUE,TRUE,"Ha",0.761,0.205913346320079,0.642,0.919518567063767,0.012
45,3,TRUE,TRUE,"Ha",0.141,0.44896828342828,0.932,0.711735932762562,0.027
150,3,TRUE,TRUE,"Ha",2.73e-09,22776944.6241974,0.853,0.62607110782562,0.085
15,3,FALSE,TRUE,"Ha",0.327,0.488049729929706,0.366,0.917408201083413,0.065
45,3,FALSE,TRUE,"Ha",0.002,73.3820584515709,0.264,0.204754164528364,0.106
150,3,FALSE,TRUE,"Ha",1.36e-14,22367957951136.5,0.324,3.67846040938424e-06,0.138
15,3,TRUE,FALSE,"Ha",0.078,1.05270511325315,0.175,0.990187635385457,0.058
45,3,TRUE,FALSE,"Ha",0.13,0.41709167201296,0.008,0.649740788024501,0.019
150,3,TRUE,FALSE,"Ha",3.3e-12,2277017028.78817,0.01,0.230562468754538,0.06
15,3,TRUE,TRUE,"H0",0.124,0.995202863331408,0.752,0.980073766872015,0.093
45,3,TRUE,TRUE,"H0",0.921,0.0809066095129863,0.214,0.566600575350097,0.001
150,3,TRUE,TRUE,"H0",0.955,0.0257952577818147,0.828,0.851984800878756,0.000213
15,3,FALSE,TRUE,"H0",0.881,0.185410588612449,0.17,0.947383266495649,0.007
45,3,FALSE,TRUE,"H0",0.853,0.0834444564055491,0.385,0.00326186392172079,0.002
150,3,FALSE,TRUE,"H0",0.649,0.0378095059555665,0.526,8.85358453217577e-12,0.002
15,3,TRUE,FALSE,"H0",0.427,0.302930416183538,0.337,0.720066194028228,0.021
45,3,TRUE,FALSE,"H0",0.75,0.0914440309638055,0.073,0.776282032591128,0.002
150,3,TRUE,FALSE,"H0",0.617,0.0388338901613738,0.027,0.842044399192543,0.001
15,3,TRUE,TRUE,"Ha",0.052,2.30437110984036,0.092,0.829161363855907,0.135
45,3,TRUE,TRUE,"Ha",0.002,29.28724786606,0.013,0.548071308138278,0.088
150,3,TRUE,TRUE,"Ha",2.42e-09,80120593.9571249,0.578,0.358897234446924,0.092
15,3,FALSE,TRUE,"Ha",0.109,1.063591019646,0.225,0.86865659897049,0.093
45,3,FALSE,TRUE,"Ha",7.68e-06,6250.04378960618,0.873,0.283251776887553,0.149
150,3,FALSE,TRUE,"Ha",2.87e-07,187528.035398868,0.614,3.85176224249051e-10,0.066
15,3,TRUE,FALSE,"Ha",0.001,29.9845439988001,0.789,0.997609266562889,0.124
45,3,TRUE,FALSE,"Ha",0.000195,128.021240810429,0.018,0.96910479523225,0.068
150,3,TRUE,FALSE,"Ha",3.06e-18,1758630027307878,4.06e-10,0.763518174760487,0.102
15,3,TRUE,TRUE,"H0",0.637,0.236525340796111,0.583,0.89193984663844,0.02
45,3,TRUE,TRUE,"H0",0.534,0.133007796855118,0.075,0.935715328230061,0.01
150,3,TRUE,TRUE,"H0",0.518,0.0493743679687091,0.376,0.684287373520116,0.003
15,3,FALSE,TRUE,"H0",0.161,0.707537273719345,0.845,0.495663455738587,0.07
45,3,FALSE,TRUE,"H0",0.015,4.43088743191038,0.411,0.0547180643814105,0.062
150,3,FALSE,TRUE,"H0",0.166,0.158124936634486,0.914,2.39130548695954e-09,0.008
15,3,TRUE,FALSE,"H0",0.773,0.195192549389976,0.149,0.218580506656273,0.006
45,3,TRUE,FALSE,"H0",0.138,0.390056529014872,0.000251,0.923042855078907,0.016
150,3,TRUE,FALSE,"H0",0.845,0.0288835782249584,2.29e-05,0.903394083851402,0.000476
15,3,TRUE,TRUE,"Ha",0.373,0.428668665996805,0.375,0.991616211396446,0.059
45,3,TRUE,TRUE,"Ha",0.001,49.9583944340616,0.894,0.739831706231312,0.096
150,3,TRUE,TRUE,"Ha",1.56e-07,164173.623583909,0.397,0.85010260595872,0.063
15,3,FALSE,TRUE,"Ha",0.089,1.05229048397751,0.979,0.786192103727047,0.076
