"","n","hypothesis","normality","p","mean","BF","Shapiro"
"826",15,"Ha",FALSE,0.180474544509807,-3.12925959891341,0.598868666937766,0.202406446847043
"827",40,"Ha",FALSE,0.00189126281607438,4.39058175159357,17.3526672981514,0.00497968440865086
"828",150,"Ha",FALSE,2.35784554245663e-07,4.29686784334763,47895.0677562789,1.02931414584308e-05
"829",15,"H0",TRUE,0.503225095148311,-2.29001554227266,0.322433517398433,0.642631798575755
"830",40,"H0",TRUE,0.146583864973492,2.59082074492941,0.466661483372405,0.674447731330668
"831",150,"H0",TRUE,0.966044042602539,-0.036938297891582,0.0910306785804261,0.814033156010333
"832",15,"H0",FALSE,0.646192413420395,1.19813887457121,0.289066937289991,0.00275873155237453
"833",40,"H0",FALSE,0.414026155663796,1.40036897361129,0.234543042107157,0.00186417729960937
"834",150,"H0",FALSE,0.520668410886156,0.519664425087183,0.111436849082911,2.55384843659565e-07
"835",15,"Ha",TRUE,0.0261911219506337,5.8940143404649,2.55332770272871,0.453349308041001
"836",40,"Ha",TRUE,0.00137379557116648,4.0460422179197,23.0246456418775,0.842646527072397
"837",150,"Ha",TRUE,1.50318908737934e-07,4.52920927972327,73609.0456804697,0.381652285536557
"838",15,"Ha",FALSE,0.122778356972168,4.38821871803368,0.784882213623814,0.0966737405555163
"839",40,"Ha",FALSE,0.127617180423474,2.26614083118901,0.516874424637039,8.75455650389513e-05
"840",150,"Ha",FALSE,1.03838409886174e-06,4.20381238515178,11672.6029714081,8.67630718483788e-11
"841",15,"H0",TRUE,0.472776404057845,-1.48439801118841,0.332582606898281,0.371832385275234
"842",40,"H0",TRUE,0.694388517243118,0.606531318714061,0.183617915606795,0.59168502075107
"843",150,"H0",TRUE,0.41540781878671,-0.645056697209531,0.126079335535001,0.857225416989563
"844",15,"H0",FALSE,0.0755153553811031,3.92513924340717,1.12250820325815,0.226327254219398
"845",40,"H0",FALSE,0.856283941316652,0.287649229400709,0.1732683952881,0.00109252372825665
"846",150,"H0",FALSE,0.190545653056937,1.10570920561189,0.211466832564407,9.95644783395022e-08
"847",15,"Ha",TRUE,0.0134567609281956,6.51550386653573,4.36806204911188,0.930751216621761
"848",40,"Ha",TRUE,0.00135782997519915,4.84973672692616,23.2645615535253,0.838601949222234
"849",150,"Ha",TRUE,5.40076840437216e-08,4.53811039224408,195909.925864587,0.514389204382701
"850",15,"Ha",FALSE,0.00551525808677949,6.00218939420706,9.1167138910534,0.0546674813366935
"851",40,"Ha",FALSE,0.00420146935403413,5.78663412818167,8.61668452767667,0.000289178579835679
"852",150,"Ha",FALSE,4.29892876515374e-05,3.67639203235549,347.500375345628,3.77239550773832e-07
"853",15,"H0",TRUE,0.244941801847436,-3.11872083486331,0.48870588291701,0.151429318327395
"854",40,"H0",TRUE,0.0974601214848316,2.35751449829967,0.633441167839538,0.555328509842401
"855",150,"H0",TRUE,0.342582948781095,0.824622951866133,0.14172003392131,0.991258683056642
"856",15,"H0",FALSE,0.14853973178768,-3.15399715271794,0.685456849554246,0.0484139175171607
"857",40,"H0",FALSE,0.559323850122182,0.948615759559569,0.200710740132156,0.00454551617005692
"858",150,"H0",FALSE,0.359092710666745,0.72407094329838,0.13761569986384,4.03617738699151e-09
"859",15,"Ha",TRUE,0.0570661165959776,5.85132330604653,1.38841582637269,0.485056494815103
"860",40,"Ha",TRUE,0.345551400122181,1.60813597901545,0.260832862615091,0.399190553233801
